x-axis,1,NO_LBL
second,Volt,Volt
-1.9510000E+00,+134.8040E-03,+4.9849246E+00
-1.9508000E+00,+134.8040E-03,+4.9045226E+00
-1.9506000E+00,+215.2060E-03,+4.9849246E+00
-1.9504000E+00,+134.8040E-03,+4.9849246E+00
-1.9502000E+00,+215.2060E-03,+4.9849246E+00
-1.9500000E+00,+134.8040E-03,+4.9849246E+00
-1.9498000E+00,+215.2060E-03,+4.9849246E+00
-1.9496000E+00,+134.8040E-03,+4.9849246E+00
-1.9494000E+00,+215.2060E-03,+4.9045226E+00
-1.9492000E+00,+215.2060E-03,+4.9849246E+00
-1.9490000E+00,+215.2060E-03,+4.9849246E+00
-1.9488000E+00,+215.2060E-03,+4.9045226E+00
-1.9486000E+00,+215.2060E-03,+4.9045226E+00
-1.9484000E+00,+215.2060E-03,+4.9849246E+00
-1.9482000E+00,+215.2060E-03,+4.9849246E+00
-1.9480000E+00,+215.2060E-03,+4.9849246E+00
-1.9478000E+00,+215.2060E-03,+4.9849246E+00
-1.9476000E+00,+134.8040E-03,+4.9849246E+00
-1.9474000E+00,+215.2060E-03,+4.9849246E+00
-1.9472000E+00,+215.2060E-03,+4.9849246E+00
-1.9470000E+00,+215.2060E-03,+4.9849246E+00
-1.9468000E+00,+215.2060E-03,+4.9849246E+00
-1.9466000E+00,+134.8040E-03,+4.9849246E+00
-1.9464000E+00,+134.8040E-03,+4.9849246E+00
-1.9462000E+00,+134.8040E-03,+4.9849246E+00
-1.9460000E+00,+3.1900804E+00,+4.9045226E+00
-1.9458000E+00,+3.1900804E+00,+4.9849246E+00
-1.9456000E+00,+3.2704824E+00,+4.9849246E+00
-1.9454000E+00,+3.1900804E+00,+4.9849246E+00
-1.9452000E+00,+3.1900804E+00,+4.9849246E+00
-1.9450000E+00,+134.8040E-03,+4.9849246E+00
-1.9448000E+00,+134.8040E-03,+4.9849246E+00
-1.9446000E+00,+215.2060E-03,+4.9849246E+00
-1.9444000E+00,+134.8040E-03,+4.9849246E+00
-1.9442000E+00,+215.2060E-03,+4.9849246E+00
-1.9440000E+00,+215.2060E-03,+4.9849246E+00
-1.9438000E+00,+134.8040E-03,+4.9849246E+00
-1.9436000E+00,+215.2060E-03,+4.9849246E+00
