x-axis,1,NO_LBL
second,Volt,Volt
-3.887340E+00,+20.020E-03,+490.452E-03
-3.882340E+00,+20.020E-03,+498.492E-03
-3.877340E+00,+20.020E-03,+498.492E-03
-3.872340E+00,+17.206E-03,+498.492E-03
-3.867340E+00,+18.814E-03,+498.492E-03
-3.862340E+00,+22.834E-03,+492.864E-03
-3.857340E+00,+20.020E-03,+492.864E-03
-3.852340E+00,+17.206E-03,+498.492E-03
-3.847340E+00,+18.814E-03,+498.492E-03
-3.842340E+00,+20.020E-03,+498.492E-03
-3.837340E+00,+22.834E-03,+490.452E-03
-3.832340E+00,+16.000E-03,+498.492E-03
-3.827340E+00,+16.000E-03,+498.492E-03
-3.822340E+00,+16.000E-03,+500.905E-03
-3.817340E+00,+20.020E-03,+498.492E-03
-3.812340E+00,+18.814E-03,+496.080E-03
-3.807340E+00,+20.020E-03,+498.492E-03
-3.802340E+00,+16.000E-03,+498.492E-03
-3.797340E+00,+14.392E-03,+498.492E-03
-3.792340E+00,+20.020E-03,+498.492E-03
-3.787340E+00,+21.226E-03,+498.492E-03
-3.782340E+00,+18.814E-03,+498.492E-03
-3.777340E+00,+20.020E-03,+498.492E-03
-3.772340E+00,+16.000E-03,+498.492E-03
-3.767340E+00,+20.020E-03,+498.492E-03
-3.762340E+00,+20.020E-03,+496.080E-03
-3.757340E+00,+20.020E-03,+498.492E-03
-3.752340E+00,+18.814E-03,+492.864E-03
-3.747340E+00,+18.814E-03,+498.492E-03
-3.742340E+00,+18.814E-03,+498.492E-03
-3.737340E+00,+20.020E-03,+498.492E-03
-3.732340E+00,+20.020E-03,+498.492E-03
-3.727340E+00,+16.000E-03,+498.492E-03
-3.722340E+00,+20.020E-03,+498.492E-03
-3.717340E+00,+17.206E-03,+492.864E-03
-3.712340E+00,+17.206E-03,+492.864E-03
-3.707340E+00,+17.206E-03,+498.492E-03
-3.702340E+00,+18.412E-03,+498.492E-03
-3.697340E+00,+20.020E-03,+498.492E-03
-3.692340E+00,+20.020E-03,+498.492E-03
-3.687340E+00,+17.206E-03,+498.492E-03
-3.682340E+00,+20.020E-03,+498.492E-03
-3.677340E+00,+20.020E-03,+498.492E-03
-3.672340E+00,+20.020E-03,+498.492E-03
-3.667340E+00,+20.020E-03,+492.864E-03
-3.662340E+00,+18.814E-03,+498.492E-03
-3.657340E+00,+17.206E-03,+498.492E-03
-3.652340E+00,+20.020E-03,+498.492E-03
-3.647340E+00,+20.020E-03,+498.492E-03
-3.642340E+00,+17.206E-03,+498.492E-03
-3.637340E+00,+17.206E-03,+498.492E-03
-3.632340E+00,+20.020E-03,+498.492E-03
-3.627340E+00,+18.814E-03,+498.492E-03
-3.622340E+00,+20.020E-03,+498.492E-03
-3.617340E+00,+17.206E-03,+498.492E-03
-3.612340E+00,+20.020E-03,+498.492E-03
-3.607340E+00,+17.206E-03,+498.492E-03
-3.602340E+00,+20.020E-03,+498.492E-03
-3.597340E+00,+20.020E-03,+492.864E-03
-3.592340E+00,+20.020E-03,+498.492E-03
-3.587340E+00,+11.578E-03,+498.492E-03
-3.582340E+00,+20.020E-03,+496.080E-03
-3.577340E+00,+18.412E-03,+498.492E-03
-3.572340E+00,+17.206E-03,+490.452E-03
-3.567340E+00,+20.020E-03,+498.492E-03
-3.562340E+00,+20.020E-03,+498.492E-03
-3.557340E+00,+20.020E-03,+498.492E-03
-3.552340E+00,+20.020E-03,+498.492E-03
-3.547340E+00,+20.020E-03,+496.080E-03
-3.542340E+00,+17.206E-03,+498.492E-03
-3.537340E+00,+17.206E-03,+498.492E-03
-3.532340E+00,+20.020E-03,+498.492E-03
-3.527340E+00,+17.206E-03,+498.492E-03
-3.522340E+00,+18.814E-03,+496.080E-03
-3.517340E+00,+20.020E-03,+498.492E-03
-3.512340E+00,+18.814E-03,+498.492E-03
-3.507340E+00,+17.206E-03,+498.492E-03
-3.502340E+00,+18.814E-03,+498.492E-03
-3.497340E+00,+20.020E-03,+498.492E-03
-3.492340E+00,+17.206E-03,+498.492E-03
-3.487340E+00,+20.020E-03,+498.492E-03
-3.482340E+00,+20.020E-03,+498.492E-03
-3.477340E+00,+16.000E-03,+498.492E-03
-3.472340E+00,+18.814E-03,+363.417E-03
-3.467340E+00,+18.814E-03,+0.0E+00
-3.462340E+00,+18.814E-03,+5.628E-03
-3.457340E+00,+18.814E-03,+0.0E+00
-3.452340E+00,+17.206E-03,+2.412E-03
-3.447340E+00,+17.206E-03,+8.040E-03
-3.442340E+00,+18.814E-03,+0.0E+00
-3.437340E+00,+20.020E-03,+0.0E+00
-3.432340E+00,+20.020E-03,+0.0E+00
-3.427340E+00,+18.814E-03,+5.628E-03
-3.422340E+00,+18.814E-03,+0.0E+00
-3.417340E+00,+17.206E-03,+0.0E+00
-3.412340E+00,+17.206E-03,+0.0E+00
-3.407340E+00,+18.412E-03,+5.628E-03
-3.402340E+00,+16.000E-03,+5.628E-03
-3.397340E+00,+17.206E-03,+5.628E-03
-3.392340E+00,+20.020E-03,+496.080E-03
-3.387340E+00,+17.206E-03,+496.080E-03
-3.382340E+00,+20.020E-03,+498.492E-03
